TYPE,"WEIGHT
(KG/M)","HEIGHT
(MM)","width
(MM)","THICKNESS
(MM)"
30 x 20 x 3 RSA,"1,1",30,20,3
30 x 20 x 4 RSA,"1,5",30,20,4
40 x 20 x 4 RSA,"1,8",40,20,4
40 x 25 x 4 RSA,"1,9",40,25,4
45 x 30 x 4 RSA,"2,3",45,30,4
50 x 30 x 5 RSA,"3,0",50,30,5
60 x 30 x 5 RSA,"3,4",50,30,5
60 x 40 x 5 RSA,"3,8",60,40,5
60 x 40 x 6 RSA,"4,5",60,40,6
65 x 50 x 5 RSA,"4,4",65,50,5
70 x 50 x 6 RSA,"5,4",75,50,6
75 x 50 x 6 RSA,"5,7",75,50,6
75 x 50 x 8 RSA,"7,4",75,50,8
80 x 40 x 6 RSA,"5,4",80,40,6
80 x 40 x 8 RSA,"7,1",80,40,8
80 x 60 x 7 RSA,"7,4",80,60,7
100 x 50 x 6 RSA,"6,8",100,50,6
100 x 50 x 8 RSA,"9,0",100,50,8
100 x 65 x 7 RSA,"8,8",100,65,7
100 x 65 x 8 RSA,"9,9",100,65,8
100 x 65 x 10 RSA,"12,3",100,65,10
100 x 75 x 8 RSA,"10,6",100,75,8
100 x 75 x 10 RSA,"13,0",100,75,10
100 x 75 x 12 RSA,"15,4",100,75,12
120 x 80 x 8 RSA,"12,2",120,80,8
120 x 80 x 10 RSA,"15,0",120,80,10
120 x 80 x 12 RSA,"17,8",120,80,12
125 x 75 x 8 RSA,"12,2",125,75,8
125 x 75 x 10 RSA,15,125,75,10
125 x 75 x 12 RSA,17.8,125,75,12
135 x 65 x 8 RSA,12.2,135,65,8
135 x 65 x 10 RSA,15,135,65,10
150 x 75 x 9 RSA,15.4,150,75,9
150 x 75 x 10 RSA,17,150,75,10
150 x 75 x 12 RSA,20.2,150,75,12
150 x 75 x 15 RSA,24.8,150,75,15
150 x 90 x 10 RSA,18.2,150,90,10
150 x 90 x 12 RSA,21.6,150,90,12
150 x 90 x 15 RSA,26.6,150,90,15
150 x 100 x 10 RSA,19.9,150,100,10
150 x 100 x 12 RSA,22.5,150,100,12
200 x 100 x 10 RSA,23,200,100,10
200 x 100 x 12 RSA,27.3,200,100,12
200 x 100 x 15 RSA,33.7,200,100,15
200 x 150 x 12 RSA,32,200,150,12